q1_apr_uhc002/Password@1,UhcMapdInd,,
q1_aarp_apr194/Password@1,AARPMapdInd,,
q1_grp_apr014561/Password@1,GroupRetireeMapd,,
q1_ship_apr003/Password@1,Ship,,
q1_apr_sfl1020/Password@1,PCP,,
q1_apr_sfl0190190/Password@1,Medica,,
q1_apr_aarpeob001/Test2day,MAPD,NICECLAIMS,ULayerInd
q1_aarp_apr158/Test2day,MAPD,COSMOSCLAIMS,ULayerInd
q1_apr_uhc084/Password@1,MAPD,NICECLAIMS,BlueLayerInd
q1_apr_uhc032/Password@1,MAPD,COSMOSCLAIMS,BlueLayerInd
verahsid0328/Password@1,MAPD,NICECLAIMS,GroupRetiree
q1_grp_apr029/Password@1,MAPD,COSMOSCLAIMS,GroupRetiree
q1_grp_apr0291/Password@1,MAPD,RxCLAIMS,GroupRetiree
q1_apr_uhc003/Password@1,UhcIndMAPDPayments,
q1_aarp_apr016/Password@1,AARPIndMAPDPayments,
q1_feb_uhc_eft014/Password@1,GroupRetireePayment,,
q1_apr_uhc009/Password@1,MAPD,UHCIndividualEOB,Medical
q1_apr_uhc083112/Password@1,MAPD,UHCIndividualEOB,Prescription Drug
q1_aarp_apr156/Password@1,MAPD,AARPIndividualEOB,Medical
q1_aarp_apr158141/Password@1,MAPD,AARPIndividualEOB,Prescription Drug
q1_grp_apr031/Password@1,MAPD,GroupRetireeEOB,Medical
q1_aarp_apr194test/Password@1,MAPD,IndAARPPharmacyFnR
q1_aarp_apr016/Password@1,BncnonlisAARPIndividual,,
q1_apr_uhc015233/Password@1,BncnonlisUHCIndividual,,
q1_grp_apr095/Password@1,BncnonlisGroupRetiree,,
q1_grp_apr275/Password@1,MAPD,GrpRetireeOrderPlan,
