q1_feb_uhc002/Password@1,UhcMapdInd,,
q1_apr_aarpeob001/Password@1,AARPMapdInd,,
q1_grp_feb018/Password@1,GroupRetireeMapd,,
q1_ship_apr003/Password@1,Ship,,
q1_apr_sfl010/Password@1,PCP,,
q1_feb_sfl013_hsid/Password@1,Medica,,
q2_jun_ulayer013/Password@1,BncnonlisAARPIndividual,,
q2_jun_blayer016/Password@1,BncnonlisUHCIndividual,,
q2_jun_grp114/Password@1,BncnonlisGroupRetiree,,
q2_jun_ulayer002/Password@1,MAPD,NICECLAIMS,ULayerInd
q2_jun_ulayer159/Password@1,MAPD,COSMOSCLAIMS,ULayerInd
q2_jun_blayer086/Password@1,MAPD,NICECLAIMS,BlueLayerInd
q2_jun_blayer033/Password@1,MAPD,COSMOSCLAIMS,BlueLayerInd
q2_jun_grp004/Password@1,MAPD,NICECLAIMS,GroupRetiree
q2_jun_grp036/Password@1,MAPD,COSMOSCLAIMS,GroupRetiree
q4_dec_uhc003/Password@1,MAPD,UhcIndOrderPlan,
q2_jun_ulayer013/Password@1,MAPD,AARPIndOrderPlan,
q1_grp_apr275/Password@1,MAPD,GrpRetireeOrderPlan,
q1_feb_uhc_eft014/Password@1,GroupRetireePayment,,
q2_jun_blayer009/Password@1,MAPD,UHCIndividualEOB,Medical
q2_jun_blayer085/Password@1,MAPD,UHCIndividualEOB,Prescription Drug
q4_dec_aarp157/Password@1,MAPD,AARPIndividualEOB,Medical
q2_jun_ulayer156/Password@1,MAPD,AARPIndividualEOB,Prescription Drug
q1_grp_apr031/Password@1,MAPD,GroupRetireeEOB,Medical
